komentar,sentimen
It might be a christmas present 😢,it might be a christmas present,Negatif
"release the train, it takes a while to make a game😅👀!",release the iakes a hile to make a game,Positif
"Libera o trem so, demora pra fazer um jogo 😅👀!",libera o trem demora pra fazer um jogo,Netral
😍 Worth the wait 😁,ore ait,Positif
"Yall gotta put my song on the latest gta, IN PUBLIC WIT IT OUT NOW!!!!!!!!!!!",goa put my song on the latest in public out no,Negatif
"Hello, Rockstar Games, I want to complain about something that happened to me. I was left floating in the submarine (Kosatka). I couldn't move, and it happened to me 3 times. Please fix it. This is very annoying during the preliminaries.",rockstar i ano complain about something that haened to i as left floating in the submarine i couldn t and it haened to me please fix ih very aoying during the,Netral
"Please don't delay. Give us trailer two in May, I would be the perfect birthday present! May 6th if you can.",please don t give us trailer to in i ould be the perfect birthday present may th if you,Netral
Patiently waiting which month the game will be released and ready?,patiently aiting hich mone game i be released and ready,Positif
I'm coming from 2025 and there is no game and no trailer 2 till now,i m coming from and there is no game and no trailer ti,Netral
Actually ukw what don't want it. GTA V is a masterpiece nothing can top that,actuay ukhat don t ant gta v is a masterpiece nothing can top,Netral
WHERE IS IT NOW,here is it,Negatif
"remember guys, when you watch trailer 1, you're less 1:30 minutes from its release",rber hen you atch trailer you re le minutes from its,Netral
We are tired of waiting😢😢😢😢😢,e are tired of aiting,Negatif
im bored on gta V hurry up please,im bored on gta v huy,Netral
When in 2025,hen in,Negatif
Ya o que????,o que,Netral
"Meet Jason e Lucia, the criminal masterminds to Vice City.",mt jason e the criminal masterminds to vice,Netral
2025? Impossible 2027 so far,impoible so,Negatif
Yo At this point we don’t even want the game no more yall promised2025 shake my head,yo ahis point e don t even anhe game no more promised shake my,Negatif
"Dear Rockstar, I speak for everyone playing your games when I say I regret to inform you that driving in GTA 5 is a big struggle for many gamers across the globe. The lack of blinkers on npc cars causes the turning of npc cars to be very unpredictable causing players cars to crash and can also effect missions in the game. This can cause players to quit playing your game and move onto a game that has the feature of blinkers on npc cars. Please consider this when in the development of one of my long awaited games. Thank you for your efforts so far.",i speak for everyone playing your games hen i say i regreo inform you that driving in gta is a big strule for many gamers acro the the lack of blinkers opars causes the turning of npars to be very unpredictable causing players cars to crash and can also eect miions in the this can cause players to quit playing your game and move onto a game that has the feature of blinkers please consider this hen in the development of one of my long aaited thank you for your eorto,Netral
We are waiting for Turkish language support,e are aiting for turkish language,Positif
Its about time tell us something,its abouime te,Netral
F GTA 6 BRING BACK MIDNIGHT CLUB!!!!,f gta bring back midnight club,Netral
At least drop trailer 2,at least drop trailer,Positif
They likes you guys commenting and keep watching this boring trailer yo boys just stop with this they will release and even launch the game,they you guys coenting and kp atching this boring trailer yo boys juop iis they i release and even launch the,Negatif
Where game???,here game,Negatif
Today’s date 3/10/2025,today s date,Netral
Still waiting 🔥,sti aiting,Positif
Please port to PC at release :(,please poro pc at release,Positif
that story mode finna be terrible,that story mode fia be,Negatif
We don't need all this fakn glitch in gta6 we have in gta5,e don t nd a this fakn glitch in gta e have in,Negatif
Fix god mod and god mod car,fix god mod and god mod,Negatif
Fix the up said dawn mk2 glitch,fix the up sai mk,Negatif
Stupid who buy this game fix the 5,stupid ho buy this game fix the,Negatif
"Best way to make 6 come out is by boycotting GTA 5 Online. Or just boycott Rockstar, then maybe they'll act on something for the first time since 2023",best ay to make come out is by boycointa or just boyco then maybe they act on something for the firsime since,Positif
keep it we’ve waited to long,kp it e ve aited to,Netral
Can we hurry the fk up with GTA 6 already,can e huy the fk up ith gta,Netral
2025 u sure @rockstargames,u sure,Netral
Daq 6 mês 😍,daq m s,Positif
gonna need an update soon peeps,goa nd an update sn,Netral
It' the time!,it the time,Netral
Is this a teaser for the teaser? Or is this actually coming out this year?,is this a teaser for the teaser or is this actuay coming ouhis year,Positif
Tráiler 2 ????,tr iler,Netral
Could you please tell me a final released date??,could you please te me a final releaseate,Positif
só vem GTA 6 esse ano,s vem gta ee,Negatif
no hypeee 😱😱😱😱eu tô no aguardo,no hype eu t no,Netral
Did u guys ever plan to drop trailer 2?,did u guys ever plan to drop trailer,Positif
Ts taking forever come on now,ts taking forever come,Negatif
Can we get a mission or two in New Orleans 🙏🏿 #gta6,can e get a miion or to ie orleans,Positif
COMING 2025 YES BUT ON THE END OF 2025 MAYBE END DECEMBER ...💀💀💀,coming yes but on thnd of,Positif
"Mais uma vez, esse jogo não existe, é só um delírio coletivo de todos",mais uma ee jogo n o s um del rio coletivo de,Netral
7 years between rdr2 and gta 6 is insanity 😂,years betn rdr and gta is insanity,Netral
Everybody that’s complaining that still playing GTA five you are the problem,everybody that s complag that sti playinta five you are the,Negatif
Where is the trailer 2??,here is the trailer,Netral
Love you 🥰😒😒🤙🏻,love you,Positif
Ansioso pra jogar GTA 6!🇧🇷,ansioso pra jogar gta,Netral
@rockstargames can I be a character????!!!!! 🫶🏾🫶🏾🫶🏾🫶🏾💕💕🔥,can i be a character,Positif
CAN I PLEASE BE A CHARACTERRR??!!!!🔥🔥🔥🔥🔥🔥,can i please be a character,Netral
Howfar oans?⏳,hofar oans,Netral
Jajajajaja estamos todos bien desesperados,ja estamos todos bien,Netral
rocstar games gangstar paradise🫡🫡,rocstar games gangstar paradise,Netral
Add Lara from non stop pop fm,a lara from non stoop,Negatif
Rockstar if I can’t see realistic boobs in the strip club and we waited 11 years for this yall got to run the fade,rockstar if i can t s realistic bbs in the strip club and e aited years for this goo run the,Netral
Did you forget to release it,did you forgeo release,Positif
Depois que lançar o GTA 6 tomara que lança pra Pc,depo que lan ar o gta tomara que lan a pra,Netral
Ce quand qui sort gta 6,ce quand qui sort gta,Netral
trailer 2 sai nunca?,trailer sai nunca,Positif
"Já comprei meu ps5, agora lança logo essa budega Rockstar",j comprei meu agora lan a logo ea budega,Netral
It’s 2025 we don’t hear anything.,it s e don t hear,Netral
This game is gonna break the internet😂,this game is goa break the internet,Netral
Please give us some info,please give uome,Netral
No it's not,no it s,Negatif
Please bring back dj cara please,please bring back dj cara,Netral
"600 conto esse jogo ? Blz, só libera logo 😢",conto ee jogo s libera logo,Negatif
"ROCKSTAR PELO AMOR DE DEUS, EU NUNCA FIQUEI LOUCO POR UM JOGO ASSIM!",rockstar pelo amor eu nunca fiquei louco por um jogo aim,Netral
Por qué limitaron los comentarios se fijaron ?,por qu limitaron los comentarioe fijaron,Netral
WHEN S TRAILER2,hen s,Netral
When’s trailer 2 😫,hen s trailer,Negatif
This will be Litt 🔥,this i be li,Netral
Not these people been in the comments for 2 years 💀,nohese people bn in the coents for years,Negatif
11 días restantes Game play disponible 🔥,d as restantes game play disponible,Netral
"Digo que vcs tem que arrumar um investidor e fazer uma boa série de The Warriors! Com muito soco, paulada, pedrada, voadoras, facada e tudo mais! Melhor jogo já produzido por vcs",digo que vcs tem que aumar um investidor e fazer uma boa s rie de the aiors couito facada e tudo mais melhor jogo j produzido por,Netral
"💜GTA VI - We love you, we're waiting for you, please come out already🙏",gta vi e love e re aiting for please come out already,Positif
We still waiting,e sti,Positif
Chat GPT says that the release date will be in April.....and I believe him 🙏 🙏 🙏 🙏,chat gpt says thahe release date i be in and i believe him,Positif
Sometimes I came back here to remember the hype I had when I saw this for the first time,sometimes i came back here to rber the hype i had hen i sa this for the,Netral
You may need to allow third party cookies to view this GIF. Allow,you may nd to ao third party ckies to vie this,Netral
We need some respect drop something,e nd some respect drop,Netral
Still 11 days trust me,sti days trust,Netral
No creo que falten 11 dias otro tipo de cuenta regresiva a de ser,no creo que falten dias otro tipo de cuenta regresiv de,Negatif
Let’s go good luck gta 5 you are the best game 😢,let s od luck gta you are the best game,Positif
Date plz 😂😂 where tf is this game???,date plz here tf is this game,Negatif
We want at least trailer 2,e ant at leasrailer,Positif
Cadê o jogo?,cad o jogo,Netral
I want the game now but we should be patient because Rockstar Games is making another masterpiece😍,i anhe game no but e should be patient because rockstar games is making another masterpiece,Netral
I think Rockstar Games will postpone GTA 6 until 2026,i think rockstar games i postpone gta until,Netral
Lançamento do trailer 2 de GTA 6 se vocês consegui 🙌,lan amento do trailer de gta se voc s consegui,Positif
But we can't able to play gta 6 with 4k 60fps😢@rockstargames,but e can t able to play gta ith k fps,Netral
Ma porca mado !!!,ma porca mado,Netral
We got 58 days left😐,e got days left,Netral
My man's from around the neighborhood passed in NYC might have known for 20 or more years RIP like this He was always a nice man in the neighborhood every holiday,my man s from around the neighborhd paed iyc might have knon for or more years rip this he as alays a nice man in the neighborhd every,Netral
i like your GTA 6 low Pc😍,i your gta lo pc,Positif
my pc so low can gameplay gta 6😢😢,my pc so lo can gameplay gta,Negatif
Solta o refém rockstar,solta o ref m,Netral
No update it's 2025 no,no update it s,Negatif
Dropped the trailer in 2023 it’s 2024 if y’all don’t drop gta 6 in 2025 im done gaming ‼️,droed the trailer in it s if y a don t drop gta in im done gaming,Positif
It's to the point we don't even want GTA6 no more to be honest,it s to the point e don t even ant gta no more to be,Negatif
"Translated with AI: Rockstar Games, Turkey is a huge market, and adding Turkish language support to this game is essential. Considering the advancements in AI technology, implementing Turkish language support should be incredibly easy. Please add Turkish language support. Thank you!",translated ith ai rockstar turkey is a huge and aing turkish language suoro this game is considering the advancements in ai implementing turkish language suort should be incredibly please a turkish language suorhank you,Netral
Ok but now stop making us wait!! 2025 of which multiverse?,but no stop making us ait of hich multiverse,Negatif
Ma poi almeno date notizie porcogiud!,ma poi almeno date notizie porcogiud,Negatif
Cayman men’s ⏳💽,cayman men s,Netral
Where are you,here are,Negatif
Cadê meu amor ?,cad meu amor,Netral
So you can pre-order it on march 18th?,so you can pre order it on march th,Netral
Rockstar is coming GTA 2025?is realy ou fake ??,rockstar is cominta is realy ou fake,Netral
